Time	Node	Type	Packets	
8	3	CacheHits	0
8	3	CacheMisses	2
8	4	CacheHits	0
8	4	CacheMisses	2
8	5	CacheHits	0
8	5	CacheMisses	2
8	6	CacheHits	0
8	6	CacheMisses	2
8	7	CacheHits	0
8	7	CacheMisses	2
8	8	CacheHits	0
8	8	CacheMisses	2
8	9	CacheHits	0
8	9	CacheMisses	2
8	10	CacheHits	0
8	10	CacheMisses	2
8	11	CacheHits	0
8	11	CacheMisses	2
8	12	CacheHits	0
8	12	CacheMisses	2
8	13	CacheHits	0
8	13	CacheMisses	2
8	14	CacheHits	0
8	14	CacheMisses	2
8	15	CacheHits	0
8	15	CacheMisses	2
8	16	CacheHits	0
8	16	CacheMisses	2
8	17	CacheHits	0
8	17	CacheMisses	2
8	18	CacheHits	0
8	18	CacheMisses	2
8	19	CacheHits	0
8	19	CacheMisses	2
8	20	CacheHits	0
8	20	CacheMisses	2
8	21	CacheHits	0
8	21	CacheMisses	2
8	22	CacheHits	0
8	22	CacheMisses	2
8	23	CacheHits	0
8	23	CacheMisses	2
8	24	CacheHits	0
8	24	CacheMisses	2
8	25	CacheHits	0
8	25	CacheMisses	2
8	26	CacheHits	0
8	26	CacheMisses	2
8	27	CacheHits	0
8	27	CacheMisses	2
8	28	CacheHits	0
8	28	CacheMisses	2
8	29	CacheHits	0
8	29	CacheMisses	2
8	30	CacheHits	0
8	30	CacheMisses	2
8	31	CacheHits	0
8	31	CacheMisses	2
8	32	CacheHits	0
8	32	CacheMisses	2
8	33	CacheHits	0
8	33	CacheMisses	0
8.5	0	CacheHits	0
8.5	0	CacheMisses	0
8.5	1	CacheHits	0
8.5	1	CacheMisses	0
8.5	2	CacheHits	0
8.5	2	CacheMisses	0
8.5	3	CacheHits	0
8.5	3	CacheMisses	0
8.5	4	CacheHits	0
8.5	4	CacheMisses	0
8.5	5	CacheHits	0
8.5	5	CacheMisses	0
8.5	6	CacheHits	0
8.5	6	CacheMisses	0
8.5	7	CacheHits	0
8.5	7	CacheMisses	0
8.5	8	CacheHits	0
8.5	8	CacheMisses	0
8.5	9	CacheHits	0
8.5	9	CacheMisses	0
8.5	10	CacheHits	0
8.5	10	CacheMisses	0
8.5	11	CacheHits	0
8.5	11	CacheMisses	0
8.5	12	CacheHits	0
8.5	12	CacheMisses	0
8.5	13	CacheHits	0
8.5	13	CacheMisses	0
8.5	14	CacheHits	0
8.5	14	CacheMisses	0
8.5	15	CacheHits	0
8.5	15	CacheMisses	0
8.5	16	CacheHits	0
8.5	16	CacheMisses	0
8.5	17	CacheHits	0
8.5	17	CacheMisses	0
8.5	18	CacheHits	0
8.5	18	CacheMisses	0
8.5	19	CacheHits	0
8.5	19	CacheMisses	0
8.5	20	CacheHits	0
8.5	20	CacheMisses	0
8.5	21	CacheHits	0
8.5	21	CacheMisses	0
8.5	22	CacheHits	0
8.5	22	CacheMisses	0
8.5	23	CacheHits	0
8.5	23	CacheMisses	0
8.5	24	CacheHits	0
8.5	24	CacheMisses	0
8.5	25	CacheHits	0
8.5	25	CacheMisses	0
8.5	26	CacheHits	0
8.5	26	CacheMisses	0
8.5	27	CacheHits	0
8.5	27	CacheMisses	0
8.5	28	CacheHits	0
8.5	28	CacheMisses	0
8.5	29	CacheHits	0
8.5	29	CacheMisses	0
8.5	30	CacheHits	0
8.5	30	CacheMisses	0
8.5	31	CacheHits	0
8.5	31	CacheMisses	0
8.5	32	CacheHits	0
8.5	32	CacheMisses	0
8.5	33	CacheHits	0
8.5	33	CacheMisses	0
9	0	CacheHits	0
9	0	CacheMisses	2
9	1	CacheHits	0
9	1	CacheMisses	2
9	2	CacheHits	0
9	2	CacheMisses	2
9	3	CacheHits	0
9	3	CacheMisses	2
9	4	CacheHits	0
9	4	CacheMisses	2
9	5	CacheHits	0
9	5	CacheMisses	2
9	6	CacheHits	0
9	6	CacheMisses	2
9	7	CacheHits	0
9	7	CacheMisses	2
9	8	CacheHits	0
9	8	CacheMisses	2
9	9	CacheHits	0
9	9	CacheMisses	2
9	10	CacheHits	0
9	10	CacheMisses	2
9	11	CacheHits	0
9	11	CacheMisses	2
9	12	CacheHits	0
9	12	CacheMisses	2
9	13	CacheHits	0
9	13	CacheMisses	2
9	14	CacheHits	0
9	14	CacheMisses	2
9	15	CacheHits	0
9	15	CacheMisses	2
9	16	CacheHits	0
9	16	CacheMisses	2
9	17	CacheHits	0
9	17	CacheMisses	2
9	18	CacheHits	0
9	18	CacheMisses	2
9	19	CacheHits	0
9	19	CacheMisses	2
9	20	CacheHits	0
9	20	CacheMisses	2
9	21	CacheHits	0
9	21	CacheMisses	2
9	22	CacheHits	0
9	22	CacheMisses	2
9	23	CacheHits	0
9	23	CacheMisses	2
9	24	CacheHits	0
9	24	CacheMisses	2
9	25	CacheHits	0
9	25	CacheMisses	2
9	26	CacheHits	0
9	26	CacheMisses	2
9	27	CacheHits	0
9	27	CacheMisses	2
9	28	CacheHits	0
9	28	CacheMisses	2
9	29	CacheHits	0
9	29	CacheMisses	2
9	30	CacheHits	0
9	30	CacheMisses	2
9	31	CacheHits	0
9	31	CacheMisses	2
9	32	CacheHits	0
9	32	CacheMisses	2
9	33	CacheHits	0
9	33	CacheMisses	0
9.5	0	CacheHits	0
9.5	0	CacheMisses	0
9.5	1	CacheHits	0
9.5	1	CacheMisses	0
9.5	2	CacheHits	0
9.5	2	CacheMisses	0
9.5	3	CacheHits	0
9.5	3	CacheMisses	0
9.5	4	CacheHits	0
9.5	4	CacheMisses	0
9.5	5	CacheHits	0
9.5	5	CacheMisses	0
9.5	6	CacheHits	0
9.5	6	CacheMisses	0
9.5	7	CacheHits	0
9.5	7	CacheMisses	0
9.5	8	CacheHits	0
9.5	8	CacheMisses	0
9.5	9	CacheHits	0
9.5	9	CacheMisses	0
9.5	10	CacheHits	0
9.5	10	CacheMisses	0
9.5	11	CacheHits	0
9.5	11	CacheMisses	0
9.5	12	CacheHits	0
9.5	12	CacheMisses	0
9.5	13	CacheHits	0
9.5	13	CacheMisses	0
9.5	14	CacheHits	0
9.5	14	CacheMisses	0
9.5	15	CacheHits	0
9.5	15	CacheMisses	0
9.5	16	CacheHits	0
9.5	16	CacheMisses	0
9.5	17	CacheHits	0
9.5	17	CacheMisses	0
9.5	18	CacheHits	0
9.5	18	CacheMisses	0
9.5	19	CacheHits	0
9.5	19	CacheMisses	0
9.5	20	CacheHits	0
9.5	20	CacheMisses	0
9.5	21	CacheHits	0
9.5	21	CacheMisses	0
9.5	22	CacheHits	0
9.5	22	CacheMisses	0
9.5	23	CacheHits	0
9.5	23	CacheMisses	0
9.5	24	CacheHits	0
9.5	24	CacheMisses	0
9.5	25	CacheHits	0
9.5	25	CacheMisses	0
9.5	26	CacheHits	0
9.5	26	CacheMisses	0
9.5	27	CacheHits	0
9.5	27	CacheMisses	0
9.5	28	CacheHits	0
9.5	28	CacheMisses	0
9.5	29	CacheHits	0
9.5	29	CacheMisses	0
9.5	30	CacheHits	0
9.5	30	CacheMisses	0
9.5	31	CacheHits	0
9.5	31	CacheMisses	0
9.5	32	CacheHits	0
9.5	32	CacheMisses	0
9.5	33	CacheHits	0
9.5	33	CacheMisses	0
10	0	CacheHits	0
10	0	CacheMisses	2
10	1	CacheHits	0
10	1	CacheMisses	2
10	2	CacheHits	0
10	2	CacheMisses	2
10	3	CacheHits	0
10	3	CacheMisses	2
10	4	CacheHits	0
10	4	CacheMisses	2
10	5	CacheHits	0
10	5	CacheMisses	2
10	6	CacheHits	0
10	6	CacheMisses	2
10	7	CacheHits	0
10	7	CacheMisses	2
10	8	CacheHits	0
10	8	CacheMisses	2
10	9	CacheHits	0
10	9	CacheMisses	2
10	10	CacheHits	0
10	10	CacheMisses	2
10	11	CacheHits	0
10	11	CacheMisses	2
10	12	CacheHits	0
10	12	CacheMisses	2
10	13	CacheHits	0
10	13	CacheMisses	2
10	14	CacheHits	0
10	14	CacheMisses	2
10	15	CacheHits	0
10	15	CacheMisses	2
10	16	CacheHits	0
10	16	CacheMisses	2
10	17	CacheHits	0
10	17	CacheMisses	2
10	18	CacheHits	0
10	18	CacheMisses	2
10	19	CacheHits	0
10	19	CacheMisses	2
10	20	CacheHits	0
10	20	CacheMisses	2
10	21	CacheHits	0
10	21	CacheMisses	2
10	22	CacheHits	0
10	22	CacheMisses	2
10	23	CacheHits	0
10	23	CacheMisses	2
10	24	CacheHits	0
10	24	CacheMisses	2
10	25	CacheHits	0
10	25	CacheMisses	2
10	26	CacheHits	0
10	26	CacheMisses	2
10	27	CacheHits	0
10	27	CacheMisses	2
10	28	CacheHits	0
10	28	CacheMisses	2
10	29	CacheHits	0
10	29	CacheMisses	2
10	30	CacheHits	0
10	30	CacheMisses	2
10	31	CacheHits	0
10	31	CacheMisses	2
10	32	CacheHits	0
10	32	CacheMisses	2
10	33	CacheHits	0
10	33	CacheMisses	0
10.5	0	CacheHits	0
10.5	0	CacheMisses	0
10.5	1	CacheHits	0
10.5	1	CacheMisses	0
10.5	2	CacheHits	0
10.5	2	CacheMisses	0
10.5	3	CacheHits	0
10.5	3	CacheMisses	0
10.5	4	CacheHits	0
10.5	4	CacheMisses	0
10.5	5	CacheHits	0
10.5	5	CacheMisses	0
10.5	6	CacheHits	0
10.5	6	CacheMisses	0
10.5	7	CacheHits	0
10.5	7	CacheMisses	0
10.5	8	CacheHits	0
10.5	8	CacheMisses	0
10.5	9	CacheHits	0
10.5	9	CacheMisses	0
10.5	10	CacheHits	0
10.5	10	CacheMisses	0
10.5	11	CacheHits	0
10.5	11	CacheMisses	0
10.5	12	CacheHits	0
10.5	12	CacheMisses	0
10.5	13	CacheHits	0
10.5	13	CacheMisses	0
10.5	14	CacheHits	0
10.5	14	CacheMisses	0
10.5	15	CacheHits	0
10.5	15	CacheMisses	0
10.5	16	CacheHits	0
10.5	16	CacheMisses	0
10.5	17	CacheHits	0
10.5	17	CacheMisses	0
10.5	18	CacheHits	0
10.5	18	CacheMisses	0
10.5	19	CacheHits	0
10.5	19	CacheMisses	0
10.5	20	CacheHits	0
10.5	20	CacheMisses	0
10.5	21	CacheHits	0
10.5	21	CacheMisses	0
10.5	22	CacheHits	0
10.5	22	CacheMisses	0
10.5	23	CacheHits	0
10.5	23	CacheMisses	0
10.5	24	CacheHits	0
10.5	24	CacheMisses	0
10.5	25	CacheHits	0
10.5	25	CacheMisses	0
10.5	26	CacheHits	0
10.5	26	CacheMisses	0
10.5	27	CacheHits	0
10.5	27	CacheMisses	0
10.5	28	CacheHits	0
10.5	28	CacheMisses	0
10.5	29	CacheHits	0
10.5	29	CacheMisses	0
10.5	30	CacheHits	0
10.5	30	CacheMisses	0
10.5	31	CacheHits	0
10.5	31	CacheMisses	0
10.5	32	CacheHits	0
10.5	32	CacheMisses	0
10.5	33	CacheHits	0
10.5	33	CacheMisses	0
11	0	CacheHits	0
11	0	CacheMisses	2
11	1	CacheHits	0
11	1	CacheMisses	2
11	2	CacheHits	0
11	2	CacheMisses	2
11	3	CacheHits	0
11	3	CacheMisses	2
11	4	CacheHits	0
11	4	CacheMisses	2
11	5	CacheHits	0
11	5	CacheMisses	2
11	6	CacheHits	0
11	6	CacheMisses	2
11	7	CacheHits	0
11	7	CacheMisses	2
11	8	CacheHits	0
11	8	CacheMisses	2
11	9	CacheHits	0
11	9	CacheMisses	2
11	10	CacheHits	0
11	10	CacheMisses	2
11	11	CacheHits	0
11	11	CacheMisses	2
11	12	CacheHits	0
11	12	CacheMisses	2
11	13	CacheHits	0
11	13	CacheMisses	2
11	14	CacheHits	0
11	14	CacheMisses	2
11	15	CacheHits	0
11	15	CacheMisses	2
11	16	CacheHits	0
11	16	CacheMisses	2
11	17	CacheHits	0
11	17	CacheMisses	2
11	18	CacheHits	0
11	18	CacheMisses	2
11	19	CacheHits	0
11	19	CacheMisses	2
11	20	CacheHits	0
11	20	CacheMisses	2
11	21	CacheHits	0
11	21	CacheMisses	2
11	22	CacheHits	0
11	22	CacheMisses	2
11	23	CacheHits	0
11	23	CacheMisses	2
11	24	CacheHits	0
11	24	CacheMisses	2
11	25	CacheHits	0
11	25	CacheMisses	2
11	26	CacheHits	0
11	26	CacheMisses	2
11	27	CacheHits	0
11	27	CacheMisses	2
11	28	CacheHits	0
11	28	CacheMisses	2
11	29	CacheHits	0
11	29	CacheMisses	2
11	30	CacheHits	0
11	30	CacheMisses	2
11	31	CacheHits	0
11	31	CacheMisses	2
11	32	CacheHits	0
11	32	CacheMisses	2
11	33	CacheHits	0
11	33	CacheMisses	0
11.5	0	CacheHits	0
11.5	0	CacheMisses	0
11.5	1	CacheHits	0
11.5	1	CacheMisses	0
11.5	2	CacheHits	0
11.5	2	CacheMisses	0
11.5	3	CacheHits	0
11.5	3	CacheMisses	0
11.5	4	CacheHits	0
11.5	4	CacheMisses	0
11.5	5	CacheHits	0
11.5	5	CacheMisses	0
11.5	6	CacheHits	0
11.5	6	CacheMisses	0
11.5	7	CacheHits	0
11.5	7	CacheMisses	0
11.5	8	CacheHits	0
11.5	8	CacheMisses	0
11.5	9	CacheHits	0
11.5	9	CacheMisses	0
11.5	10	CacheHits	0
11.5	10	CacheMisses	0
11.5	11	CacheHits	0
11.5	11	CacheMisses	0
11.5	12	CacheHits	0
11.5	12	CacheMisses	0
11.5	13	CacheHits	0
11.5	13	CacheMisses	0
11.5	14	CacheHits	0
11.5	14	CacheMisses	0
11.5	15	CacheHits	0
11.5	15	CacheMisses	0
11.5	16	CacheHits	0
11.5	16	CacheMisses	0
11.5	17	CacheHits	0
11.5	17	CacheMisses	0
11.5	18	CacheHits	0
11.5	18	CacheMisses	0
11.5	19	CacheHits	0
11.5	19	CacheMisses	0
11.5	20	CacheHits	0
11.5	20	CacheMisses	0
11.5	21	CacheHits	0
11.5	21	CacheMisses	0
11.5	22	CacheHits	0
11.5	22	CacheMisses	0
11.5	23	CacheHits	0
11.5	23	CacheMisses	0
11.5	24	CacheHits	0
11.5	24	CacheMisses	0
11.5	25	CacheHits	0
11.5	25	CacheMisses	0
11.5	26	CacheHits	0
11.5	26	CacheMisses	0
11.5	27	CacheHits	0
11.5	27	CacheMisses	0
11.5	28	CacheHits	0
11.5	28	CacheMisses	0
11.5	29	CacheHits	0
11.5	29	CacheMisses	0
11.5	30	CacheHits	0
11.5	30	CacheMisses	0
11.5	31	CacheHits	0
11.5	31	CacheMisses	0
11.5	32	CacheHits	0
11.5	32	CacheMisses	0
11.5	33	CacheHits	0
11.5	33	CacheMisses	0
12	0	CacheHits	0
12	0	CacheMisses	2
12	1	CacheHits	0
12	1	CacheMisses	2
12	2	CacheHits	0
12	2	CacheMisses	2
12	3	CacheHits	0
12	3	CacheMisses	2
12	4	CacheHits	0
12	4	CacheMisses	2
12	5	CacheHits	0
12	5	CacheMisses	2
12	6	CacheHits	0
12	6	CacheMisses	2
12	7	CacheHits	0
12	7	CacheMisses	2
12	8	CacheHits	0
12	8	CacheMisses	2
12	9	CacheHits	0
12	9	CacheMisses	2
12	10	CacheHits	0
12	10	CacheMisses	2
12	11	CacheHits	0
12	11	CacheMisses	2
12	12	CacheHits	0
12	12	CacheMisses	2
12	13	CacheHits	0
12	13	CacheMisses	2
12	14	CacheHits	0
12	14	CacheMisses	2
12	15	CacheHits	0
12	15	CacheMisses	2
12	16	CacheHits	0
12	16	CacheMisses	2
12	17	CacheHits	0
12	17	CacheMisses	2
12	18	CacheHits	0
12	18	CacheMisses	2
12	19	CacheHits	0
12	19	CacheMisses	2
12	20	CacheHits	0
12	20	CacheMisses	2
12	21	CacheHits	0
12	21	CacheMisses	2
12	22	CacheHits	0
12	22	CacheMisses	2
12	23	CacheHits	0
12	23	CacheMisses	2
12	24	CacheHits	0
12	24	CacheMisses	2
12	25	CacheHits	0
12	25	CacheMisses	2
12	26	CacheHits	0
12	26	CacheMisses	2
12	27	CacheHits	0
12	27	CacheMisses	2
12	28	CacheHits	0
12	28	CacheMisses	2
12	29	CacheHits	0
12	29	CacheMisses	2
12	30	CacheHits	0
12	30	CacheMisses	2
12	31	CacheHits	0
12	31	CacheMisses	2
12	32	CacheHits	0
12	32	CacheMisses	2
12	33	CacheHits	0
12	33	CacheMisses	0
12.5	0	CacheHits	0
12.5	0	CacheMisses	0
12.5	1	CacheHits	0
12.5	1	CacheMisses	0
12.5	2	CacheHits	0
12.5	2	CacheMisses	0
12.5	3	CacheHits	0
12.5	3	CacheMisses	0
12.5	4	CacheHits	0
12.5	4	CacheMisses	0
12.5	5	CacheHits	0
12.5	5	CacheMisses	0
12.5	6	CacheHits	0
12.5	6	CacheMisses	0
12.5	7	CacheHits	0
12.5	7	CacheMisses	0
12.5	8	CacheHits	0
12.5	8	CacheMisses	0
12.5	9	CacheHits	0
12.5	9	CacheMisses	0
12.5	10	CacheHits	0
12.5	10	CacheMisses	0
12.5	11	CacheHits	0
12.5	11	CacheMisses	0
12.5	12	CacheHits	0
12.5	12	CacheMisses	0
12.5	13	CacheHits	0
12.5	13	CacheMisses	0
12.5	14	CacheHits	0
12.5	14	CacheMisses	0
12.5	15	CacheHits	0
12.5	15	CacheMisses	0
12.5	16	CacheHits	0
12.5	16	CacheMisses	0
12.5	17	CacheHits	0
12.5	17	CacheMisses	0
12.5	18	CacheHits	0
12.5	18	CacheMisses	0
12.5	19	CacheHits	0
12.5	19	CacheMisses	0
12.5	20	CacheHits	0
12.5	20	CacheMisses	0
12.5	21	CacheHits	0
12.5	21	CacheMisses	0
12.5	22	CacheHits	0
12.5	22	CacheMisses	0
12.5	23	CacheHits	0
12.5	23	CacheMisses	0
12.5	24	CacheHits	0
12.5	24	CacheMisses	0
12.5	25	CacheHits	0
12.5	25	CacheMisses	0
12.5	26	CacheHits	0
12.5	26	CacheMisses	0
12.5	27	CacheHits	0
12.5	27	CacheMisses	0
12.5	28	CacheHits	0
12.5	28	CacheMisses	0
12.5	29	CacheHits	0
12.5	29	CacheMisses	0
12.5	30	CacheHits	0
12.5	30	CacheMisses	0
12.5	31	CacheHits	0
12.5	31	CacheMisses	0
12.5	32	CacheHits	0
12.5	32	CacheMisses	0
12.5	33	CacheHits	0
12.5	33	CacheMisses	0
13	0	CacheHits	0
13	0	CacheMisses	2
13	1	CacheHits	0
13	1	CacheMisses	2
13	2	CacheHits	0
13	2	CacheMisses	2
13	3	CacheHits	0
13	3	CacheMisses	2
13	4	CacheHits	0
13	4	CacheMisses	2
13	5	CacheHits	0
13	5	CacheMisses	2
13	6	CacheHits	0
13	6	CacheMisses	2
13	7	CacheHits	0
13	7	CacheMisses	2
13	8	CacheHits	0
13	8	CacheMisses	2
13	9	CacheHits	0
13	9	CacheMisses	2
13	10	CacheHits	0
13	10	CacheMisses	2
13	11	CacheHits	0
13	11	CacheMisses	2
13	12	CacheHits	0
13	12	CacheMisses	2
13	13	CacheHits	0
13	13	CacheMisses	2
13	14	CacheHits	0
13	14	CacheMisses	2
13	15	CacheHits	0
13	15	CacheMisses	2
13	16	CacheHits	0
13	16	CacheMisses	2
13	17	CacheHits	0
13	17	CacheMisses	2
13	18	CacheHits	0
13	18	CacheMisses	2
13	19	CacheHits	0
13	19	CacheMisses	2
13	20	CacheHits	0
13	20	CacheMisses	2
13	21	CacheHits	0
13	21	CacheMisses	2
13	22	CacheHits	0
13	22	CacheMisses	2
13	23	CacheHits	0
13	23	CacheMisses	2
13	24	CacheHits	0
13	24	CacheMisses	2
13	25	CacheHits	0
13	25	CacheMisses	2
13	26	CacheHits	0
13	26	CacheMisses	2
13	27	CacheHits	0
13	27	CacheMisses	2
13	28	CacheHits	0
13	28	CacheMisses	2
13	29	CacheHits	0
13	29	CacheMisses	2
13	30	CacheHits	0
13	30	CacheMisses	2
13	31	CacheHits	0
13	31	CacheMisses	2
13	32	CacheHits	0
13	32	CacheMisses	2
13	33	CacheHits	0
13	33	CacheMisses	0
13.5	0	CacheHits	0
13.5	0	CacheMisses	0
13.5	1	CacheHits	0
13.5	1	CacheMisses	0
13.5	2	CacheHits	0
13.5	2	CacheMisses	0
13.5	3	CacheHits	0
13.5	3	CacheMisses	0
13.5	4	CacheHits	0
13.5	4	CacheMisses	0
13.5	5	CacheHits	0
13.5	5	CacheMisses	0
13.5	6	CacheHits	0
13.5	6	CacheMisses	0
13.5	7	CacheHits	0
13.5	7	CacheMisses	0
13.5	8	CacheHits	0
13.5	8	CacheMisses	0
13.5	9	CacheHits	0
13.5	9	CacheMisses	0
13.5	10	CacheHits	0
13.5	10	CacheMisses	0
13.5	11	CacheHits	0
13.5	11	CacheMisses	0
13.5	12	CacheHits	0
13.5	12	CacheMisses	0
13.5	13	CacheHits	0
13.5	13	CacheMisses	0
13.5	14	CacheHits	0
13.5	14	CacheMisses	0
13.5	15	CacheHits	0
13.5	15	CacheMisses	0
13.5	16	CacheHits	0
13.5	16	CacheMisses	0
13.5	17	CacheHits	0
13.5	17	CacheMisses	0
13.5	18	CacheHits	0
13.5	18	CacheMisses	0
13.5	19	CacheHits	0
13.5	19	CacheMisses	0
13.5	20	CacheHits	0
13.5	20	CacheMisses	0
13.5	21	CacheHits	0
13.5	21	CacheMisses	0
13.5	22	CacheHits	0
13.5	22	CacheMisses	0
13.5	23	CacheHits	0
13.5	23	CacheMisses	0
13.5	24	CacheHits	0
13.5	24	CacheMisses	0
13.5	25	CacheHits	0
13.5	25	CacheMisses	0
13.5	26	CacheHits	0
13.5	26	CacheMisses	0
13.5	27	CacheHits	0
13.5	27	CacheMisses	0
13.5	28	CacheHits	0
13.5	28	CacheMisses	0
13.5	29	CacheHits	0
13.5	29	CacheMisses	0
13.5	30	CacheHits	0
13.5	30	CacheMisses	0
13.5	31	CacheHits	0
13.5	31	CacheMisses	0
13.5	32	CacheHits	0
13.5	32	CacheMisses	0
13.5	33	CacheHits	0
13.5	33	CacheMisses	0
14	0	CacheHits	0
14	0	CacheMisses	2
14	1	CacheHits	0
14	1	CacheMisses	2
14	2	CacheHits	0
14	2	CacheMisses	2
14	3	CacheHits	0
14	3	CacheMisses	2
14	4	CacheHits	0
14	4	CacheMisses	2
14	5	CacheHits	0
14	5	CacheMisses	2
14	6	CacheHits	0
14	6	CacheMisses	2
14	7	CacheHits	0
14	7	CacheMisses	2
14	8	CacheHits	0
14	8	CacheMisses	2
14	9	CacheHits	0
14	9	CacheMisses	2
14	10	CacheHits	0
14	10	CacheMisses	2
14	11	CacheHits	0
14	11	CacheMisses	2
14	12	CacheHits	0
14	12	CacheMisses	2
14	13	CacheHits	0
14	13	CacheMisses	2
14	14	CacheHits	0
14	14	CacheMisses	2
14	15	CacheHits	0
14	15	CacheMisses	2
14	16	CacheHits	0
14	16	CacheMisses	2
14	17	CacheHits	0
14	17	CacheMisses	2
14	18	CacheHits	0
14	18	CacheMisses	2
14	19	CacheHits	0
14	19	CacheMisses	2
14	20	CacheHits	0
14	20	CacheMisses	2
14	21	CacheHits	0
14	21	CacheMisses	2
14	22	CacheHits	0
14	22	CacheMisses	2
14	23	CacheHits	0
14	23	CacheMisses	2
14	24	CacheHits	0
14	24	CacheMisses	2
14	25	CacheHits	0
14	25	CacheMisses	2
14	26	CacheHits	0
14	26	CacheMisses	2
14	27	CacheHits	0
14	27	CacheMisses	2
14	28	CacheHits	0
14	28	CacheMisses	2
14	29	CacheHits	0
14	29	CacheMisses	2
14	30	CacheHits	0
14	30	CacheMisses	2
14	31	CacheHits	0
14	31	CacheMisses	2
14	32	CacheHits	0
14	32	CacheMisses	2
14	33	CacheHits	0
14	33	CacheMisses	0
14.5	0	CacheHits	0
14.5	0	CacheMisses	0
14.5	1	CacheHits	0
14.5	1	CacheMisses	0
14.5	2	CacheHits	0
14.5	2	CacheMisses	0
14.5	3	CacheHits	0
14.5	3	CacheMisses	0
14.5	4	CacheHits	0
14.5	4	CacheMisses	0
14.5	5	CacheHits	0
14.5	5	CacheMisses	0
14.5	6	CacheHits	0
14.5	6	CacheMisses	0
14.5	7	CacheHits	0
14.5	7	CacheMisses	0
14.5	8	CacheHits	0
14.5	8	CacheMisses	0
14.5	9	CacheHits	0
14.5	9	CacheMisses	0
14.5	10	CacheHits	0
14.5	10	CacheMisses	0
14.5	11	CacheHits	0
14.5	11	CacheMisses	0
14.5	12	CacheHits	0
14.5	12	CacheMisses	0
14.5	13	CacheHits	0
14.5	13	CacheMisses	0
14.5	14	CacheHits	0
14.5	14	CacheMisses	0
14.5	15	CacheHits	0
14.5	15	CacheMisses	0
14.5	16	CacheHits	0
14.5	16	CacheMisses	0
14.5	17	CacheHits	0
14.5	17	CacheMisses	0
14.5	18	CacheHits	0
14.5	18	CacheMisses	0
14.5	19	CacheHits	0
14.5	19	CacheMisses	0
14.5	20	CacheHits	0
14.5	20	CacheMisses	0
14.5	21	CacheHits	0
14.5	21	CacheMisses	0
14.5	22	CacheHits	0
14.5	22	CacheMisses	0
14.5	23	CacheHits	0
14.5	23	CacheMisses	0
14.5	24	CacheHits	0
14.5	24	CacheMisses	0
14.5	25	CacheHits	0
14.5	25	CacheMisses	0
14.5	26	CacheHits	0
14.5	26	CacheMisses	0
14.5	27	CacheHits	0
14.5	27	CacheMisses	0
14.5	28	CacheHits	0
14.5	28	CacheMisses	0
14.5	29	CacheHits	0
14.5	29	CacheMisses	0
14.5	30	CacheHits	0
14.5	30	CacheMisses	0
14.5	31	CacheHits	0
14.5	31	CacheMisses	0
14.5	32	CacheHits	0
14.5	32	CacheMisses	0
14.5	33	CacheHits	0
14.5	33	CacheMisses	0
15	0	CacheHits	0
15	0	CacheMisses	2
15	1	CacheHits	0
15	1	CacheMisses	2
15	2	CacheHits	0
15	2	CacheMisses	2
15	3	CacheHits	0
15	3	CacheMisses	2
15	4	CacheHits	0
15	4	CacheMisses	2
15	5	CacheHits	0
15	5	CacheMisses	2
15	6	CacheHits	0
15	6	CacheMisses	2
15	7	CacheHits	0
15	7	CacheMisses	2
15	8	CacheHits	0
15	8	CacheMisses	2
15	9	CacheHits	0
15	9	CacheMisses	2
15	10	CacheHits	0
15	10	CacheMisses	2
15	11	CacheHits	0
15	11	CacheMisses	2
15	12	CacheHits	0
15	12	CacheMisses	2
15	13	CacheHits	0
15	13	CacheMisses	2
15	14	CacheHits	0
15	14	CacheMisses	2
15	15	CacheHits	0
15	15	CacheMisses	2
15	16	CacheHits	0
15	16	CacheMisses	2
15	17	CacheHits	0
15	17	CacheMisses	2
15	18	CacheHits	0
15	18	CacheMisses	2
15	19	CacheHits	0
15	19	CacheMisses	2
15	20	CacheHits	0
15	20	CacheMisses	2
15	21	CacheHits	0
15	21	CacheMisses	2
15	22	CacheHits	0
15	22	CacheMisses	2
15	23	CacheHits	0
15	23	CacheMisses	2
15	24	CacheHits	0
15	24	CacheMisses	2
15	25	CacheHits	0
15	25	CacheMisses	2
15	26	CacheHits	0
15	26	CacheMisses	2
15	27	CacheHits	0
15	27	CacheMisses	2
15	28	CacheHits	0
15	28	CacheMisses	2
15	29	CacheHits	0
15	29	CacheMisses	2
15	30	CacheHits	0
15	30	CacheMisses	2
15	31	CacheHits	0
15	31	CacheMisses	2
15	32	CacheHits	0
15	32	CacheMisses	2
15	33	CacheHits	0
15	33	CacheMisses	0
15.5	0	CacheHits	0
15.5	0	CacheMisses	0
15.5	1	CacheHits	0
15.5	1	CacheMisses	0
15.5	2	CacheHits	0
15.5	2	CacheMisses	0
15.5	3	CacheHits	0
15.5	3	CacheMisses	0
15.5	4	CacheHits	0
15.5	4	CacheMisses	0
15.5	5	CacheHits	0
15.5	5	CacheMisses	0
15.5	6	CacheHits	0
15.5	6	CacheMisses	0
15.5	7	CacheHits	0
15.5	7	CacheMisses	0
15.5	8	CacheHits	0
15.5	8	CacheMisses	0
15.5	9	CacheHits	0
15.5	9	CacheMisses	0
15.5	10	CacheHits	0
15.5	10	CacheMisses	0
15.5	11	CacheHits	0
15.5	11	CacheMisses	0
