Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
11.199	32	0	1	LastDelay	0	0	1	2
11.2136	2	0	1	LastDelay	0	0	1	1
11.2443	44	0	1	LastDelay	0	0	1	2
11.3681	20	0	1	LastDelay	0	0	1	2
11.8474	8	0	1	LastDelay	0	0	1	2
11.9429	14	0	1	LastDelay	0	0	1	2
11.9782	38	0	1	LastDelay	0	0	1	2
12.173	26	0	1	LastDelay	0	0	1	2
12.249	3	0	1	LastDelay	0	0	1	1
12.2926	21	0	1	LastDelay	0	0	1	2
12.3302	15	0	1	LastDelay	0	0	1	2
12.3675	9	0	1	LastDelay	0	0	1	2
12.5023	33	0	1	LastDelay	0	0	1	2
12.5338	45	0	1	LastDelay	0	0	1	2
12.8926	39	0	1	LastDelay	0	0	1	2
13.0205	27	0	1	LastDelay	0	0	1	2
13.2174	2	0	1	LastDelay	0.0038576	3857.6	1	1
13.8508	8	0	1	LastDelay	0.00337008	3370.08	1	1
13.9468	14	0	1	LastDelay	0.00383201	3832.01	1	1
13.9815	38	0	1	LastDelay	0.00334301	3343.01	1	1
14.1764	26	0	1	LastDelay	0.003356	3356	1	1
14.2024	32	0	1	LastDelay	0.00337015	3370.15	1	1
14.2136	2	0	1	LastDelay	0	0	1	0
14.2478	44	0	1	LastDelay	0.00356445	3564.45	1	1
14.3715	20	0	1	LastDelay	0.003356	3356	1	1
14.8474	8	0	1	LastDelay	0	0	1	0
14.9429	14	0	1	LastDelay	0	0	1	0
14.9782	38	0	1	LastDelay	0	0	1	0
15.173	26	0	1	LastDelay	0	0	1	0
15.199	32	0	1	LastDelay	0	0	1	0
15.2169	2	0	1	LastDelay	0.00337033	3370.33	1	1
15.2249	1	0	1	LastDelay	0.938953	938953	1	1
15.2443	44	0	1	LastDelay	0	0	1	0
15.2526	3	0	1	LastDelay	0.00351734	3517.34	1	1
15.2859	1	0	1	LastDelay	0	0	1	1
15.3681	20	0	1	LastDelay	0	0	1	0
15.3753	43	0	1	LastDelay	0	0	1	2
15.752	37	0	1	LastDelay	0	0	1	2
15.8959	39	0	1	LastDelay	0.00333148	3331.48	1	1
15.904	25	0	1	LastDelay	0	0	1	2
16.0386	19	0	1	LastDelay	0	0	1	2
16.0676	16	0	1	LastDelay	0	0	1	2
16.0682	11	0	1	LastDelay	0	0	1	2
16.0728	17	0	1	LastDelay	0	0	1	2
16.1422	46	0	1	LastDelay	0	0	1	2
16.1612	4	0	1	LastDelay	0	0	1	2
16.1939	13	0	1	LastDelay	0	0	1	2
16.1954	6	0	1	LastDelay	0	0	1	2
16.2136	2	0	1	LastDelay	0	0	1	0
16.2396	0	0	1	LastDelay	0	0	1	1
16.2485	12	0	1	LastDelay	0	0	1	2
16.249	3	0	1	LastDelay	0	0	1	0
16.25	7	0	1	LastDelay	0	0	1	2
16.262	31	0	1	LastDelay	0	0	1	2
16.2815	42	0	1	LastDelay	0	0	1	2
16.2952	23	0	1	LastDelay	0	0	1	2
16.3283	10	0	1	LastDelay	0	0	1	2
16.4143	22	0	1	LastDelay	0	0	1	2
16.4237	35	0	1	LastDelay	0	0	1	2
